name,index_in_978,importance,is_known_marker,rank
MT-ND3,8,0.0008066162117756903,False,352
SLC1A5,607,0.0008063041605055332,False,353
HMGB1,865,0.0008057495579123497,False,354
KRT5,73,0.0008049133466556668,False,355
SPP1,100,0.0008045284193940461,False,356
PIP,729,0.0008042655535973608,False,357
NT5E,902,0.0008004105766303837,False,358
CNN3,816,0.0007991355378180742,False,359
MYCN,621,0.0007984027033671737,True,360
PCSK1,789,0.0007957963389344513,False,361
RPS12,34,0.0007955127512104809,False,362
FABP4,494,0.0007952052401378751,False,363
RPL23,281,0.0007946804980747402,False,364
SPINT2,189,0.0007925809477455914,False,365
GPX2,360,0.0007913747103884816,False,366
MET,668,0.0007913582376204431,True,367
KRT6A,161,0.0007907322142273188,False,368
CHCHD2,220,0.0007902793004177511,False,369
P4HB,219,0.0007894806913100183,False,370
PSMB3,401,0.0007889607804827392,False,371
MARS,912,0.0007887061219662428,False,372
HSPA1B,708,0.0007878988981246948,False,373
SEC61G,192,0.0007863623322919011,False,374
YBX1P1,763,0.0007862535421736538,False,375
CXCR4,864,0.0007862503407523036,False,376
EEF1A1,62,0.0007855104049667716,False,377
XXbac-BPG252P9.9,110,0.0007853895076550543,False,378
TXNDC5,799,0.0007853374700061977,False,379
SUMO2,396,0.0007850833935663104,False,380
PIM2,795,0.0007841617334634066,False,381
TXNRD1,374,0.0007834249990992248,False,382
AGRN,964,0.0007833176641725004,False,383
S100A14,268,0.000781744543928653,False,384
BTF3,306,0.000781397451646626,False,385
FTH1,21,0.0007810186943970621,False,386
BCAM,635,0.0007808739901520312,False,387
SLC3A2,540,0.0007799103623256087,False,388
ERRFI1,882,0.0007798636215738952,False,389
ACTA2,746,0.0007786399801261723,False,390
AIF1,904,0.0007779106381349266,False,391
ZFAS1,467,0.000777807435952127,False,392
ALDH1A3,456,0.000777237641159445,False,393
LGALS3BP,464,0.0007767374045215547,False,394
RPL24,231,0.000775867432821542,False,395
RPSA,152,0.0007758600986562669,False,396
PROCR,681,0.0007748097414150834,False,397
CAP1,495,0.0007747171330265701,False,398
C6orf48,535,0.0007746561896055937,False,399
COL6A2,489,0.0007730884826742113,False,400
TM4SF1,499,0.0007727777701802552,False,401
TFF1,122,0.0007720615831203759,False,402
PFN1,271,0.0007698897970840335,False,403
ALPP,942,0.0007694302476011217,False,404
RPL41P1,49,0.0007691015489399433,False,405
JUNB,745,0.0007687214529141784,False,406
EIF3E,807,0.0007681780843995512,False,407
VDAC1,955,0.0007634743233211339,False,408
SQLE,678,0.0007633178611285985,False,409
